..\Mods\@RHSAFRF\rhs_2s1,2,	class rhs_2s1
..\Mods\@RHSUSAF\rhsusf_c_weapons,5098,	class rhs_ammo_fim92_missile: M_Titan_AA
..\Mods\@RHSUSAF\rhsusf_c_weapons,5178,	class rhs_ammo_fim92_ah64: rhs_ammo_fim92_missile
..\Mods\@RHSUSAF\rhsusf_c_weapons,5182,	class rhs_ammo_M_fgm148_AT: MissileBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,5284,	class rhs_ammo_M_fgm148_AT_penetrator: rhsusf_ammo_basic_penetrator
..\Mods\@RHSUSAF\rhsusf_c_weapons,5290,	class M_NLAW_AT_F;
..\Mods\@RHSUSAF\rhsusf_c_weapons,5291,	class rhs_ammo_M_fgm172a_AT: M_NLAW_AT_F
..\Mods\@RHSUSAF\rhsusf_c_weapons,5318,	class rhs_ammo_M_fgm172b_MPV: rhs_ammo_M_fgm172a_AT
..\Mods\@RHSUSAF\rhsusf_c_weapons,5336,	class rhs_ammo_smaw_HEAA: RocketBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,5411,	class rhs_ammo_smaw_HEAA_penetrator: rhsusf_ammo_basic_penetrator
..\Mods\@RHSUSAF\rhsusf_c_weapons,5415,	class rhs_ammo_smaw_HEDP: RocketBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,5490,	class rhs_ammo_smaw_HEDP_penetrator: rhs_ammo_M136_penetrator
..\Mods\@RHSUSAF\rhsusf_c_weapons,5495,	class rhs_ammo_smaw_SR: RocketBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,5556,	class rhs_ammo_maaws_HEAT: RocketBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,5664,	class rhs_ammo_maaws_HEAT_penetrator: rhsusf_ammo_basic_penetrator
..\Mods\@RHSUSAF\rhsusf_c_weapons,5668,	class rhs_ammo_maaws_HEDP: RocketBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,5775,	class rhs_ammo_maaws_HEDP_penetrator: rhs_ammo_M136_penetrator
..\Mods\@RHSUSAF\rhsusf_c_weapons,5779,	class rhs_ammo_maaws_HE: RocketBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,5878,	class rhs_ammo_maaws_SMOKE: RocketBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,5978,	class rhs_ammo_maaws_ILLUM: RocketBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,6078,	class PipeBombBase;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6079,	class rhsusf_m112_ammo: PipeBombBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,6099,	class rhsusf_m112_ammo_scripted: rhsusf_m112_ammo;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6100,	class rhsusf_m112x4_ammo: PipeBombBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,6120,	class rhsusf_m112x4_ammo_scripted: rhsusf_m112x4_ammo;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6121,	class MineBase;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6122,	class APERSMine_Range_Ammo;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6123,	class rhsusf_mine_m19_ammo: MineBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,6166,	class rhsusf_mine_m19_penetrator: rhsusf_ammo_basic_penetrator
..\Mods\@RHSUSAF\rhsusf_c_weapons,6172,	class rhsusf_mine_m14_ammo: MineBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,6195,	class rhsusf_mine_m49a1_3m_ammo: APERSMine_Range_Ammo
..\Mods\@RHSUSAF\rhsusf_c_weapons,6265,	class rhsusf_mine_m49a1_6m_ammo: rhsusf_mine_m49a1_3m_ammo
..\Mods\@RHSUSAF\rhsusf_c_weapons,6270,	class rhsusf_mine_m49a1_10m_ammo: rhsusf_mine_m49a1_3m_ammo
..\Mods\@RHSUSAF\rhsusf_c_weapons,6275,	class rhsusf_40mm_HE: G_40mm_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6281,	class rhsusf_40mm_HEDP: rhsusf_40mm_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6294,	class rhs_ammo_40mmHEDP_penetrator: rhs_ammo_12gHEAP_penetrator
..\Mods\@RHSUSAF\rhsusf_c_weapons,6299,	class rhsusf_40mm_Practice: BulletBase
..\Mods\@RHSUSAF\rhsusf_c_weapons,6359,	class rhsusf_40mm_white: F_40mm_White
..\Mods\@RHSUSAF\rhsusf_c_weapons,6365,	class rhsusf_40mm_red: F_40mm_Red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6371,	class rhsusf_40mm_green: F_40mm_Green
..\Mods\@RHSUSAF\rhsusf_c_weapons,6377,	class rhs_ammo_m397: rhsusf_40mm_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6405,	class rhs_ammo_m397_explosion: rhsusf_40mm_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6410,	class SmokeShellYellow;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6411,	class SmokeShell;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6412,	class SmokeShellGreen;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6413,	class SmokeShellRed;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6414,	class rhs_40mm_smoke_white: SmokeShell;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6415,	class rhs_40mm_smoke_red: SmokeShellRed;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6416,	class rhs_40mm_smoke_green: SmokeShellGreen;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6417,	class rhs_40mm_smoke_yellow: SmokeShellYellow;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6418,	class rhs_40mm_m714_white: SmokeShell
..\Mods\@RHSUSAF\rhsusf_c_weapons,6423,	class rhs_40mm_m713_red: SmokeShellRed
..\Mods\@RHSUSAF\rhsusf_c_weapons,6428,	class rhs_40mm_m715_green: SmokeShellGreen
..\Mods\@RHSUSAF\rhsusf_c_weapons,6433,	class rhs_40mm_m716_yellow: SmokeShellYellow
..\Mods\@RHSUSAF\rhsusf_c_weapons,6438,	class GrenadeHand;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6439,	class rhs_ammo_m67: GrenadeHand;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6440,	class rhs_ammo_m69: GrenadeHand_stone;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6441,	class rhs_ammo_m84: GrenadeHand
..\Mods\@RHSUSAF\rhsusf_c_weapons,6451,	class rhs_ammo_an_m14_th3: SmokeShell
..\Mods\@RHSUSAF\rhsusf_c_weapons,6481,	class rhs_ammo_an_m14_th3_droplet: rhs_ammo_12gHEAP_penetrator
..\Mods\@RHSUSAF\rhsusf_c_weapons,6540,	class rhs_ammo_m7a3_cs: GrenadeHand
..\Mods\@RHSUSAF\rhsusf_c_weapons,6549,	class rhs_ammo_mk3a2: GrenadeHand;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6550,	class rhs_ammo_an_m8hc: SmokeShell;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6551,	class rhs_ammo_m18_green: SmokeShell
..\Mods\@RHSUSAF\rhsusf_c_weapons,6555,	class rhs_ammo_m18_purple: rhs_ammo_m18_green
..\Mods\@RHSUSAF\rhsusf_c_weapons,6559,	class rhs_ammo_m18_red: rhs_ammo_m18_green
..\Mods\@RHSUSAF\rhsusf_c_weapons,6563,	class rhs_ammo_m18_yellow: rhs_ammo_m18_green
..\Mods\@RHSUSAF\rhsusf_c_weapons,6570,	class CA_Magazine;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6571,	class CA_LauncherMagazine;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6572,	class FakeMagazine;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6573,	class 30Rnd_556x45_Stanag;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6574,	class rhs_mag_fold_stock: CA_Magazine
..\Mods\@RHSUSAF\rhsusf_c_weapons,6579,	class rhs_fakemag: CA_Magazine
..\Mods\@RHSUSAF\rhsusf_c_weapons,6584,	class rhs_mag_fakeMuzzle1: rhs_fakemag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6588,	class rhs_mag_30Rnd_556x45_M855A1_Stanag: 30Rnd_556x45_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6596,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_No_Tracer: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6601,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6606,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_Tracer_Green: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6611,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_Tracer_Yellow: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6616,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_Tracer_Orange: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6621,	class rhs_mag_30Rnd_556x45_M855_Stanag: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6627,	class rhs_mag_30Rnd_556x45_M855_Stanag_Tracer_Red: rhs_mag_30Rnd_556x45_M855_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6632,	class rhs_mag_30Rnd_556x45_M855_Stanag_Tracer_Green: rhs_mag_30Rnd_556x45_M855_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6637,	class rhs_mag_30Rnd_556x45_M855_Stanag_Tracer_Yellow: rhs_mag_30Rnd_556x45_M855_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6642,	class rhs_mag_30Rnd_556x45_M855_Stanag_Tracer_Orange: rhs_mag_30Rnd_556x45_M855_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6647,	class rhs_mag_30Rnd_556x45_Mk318_Stanag: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6652,	class rhs_mag_30Rnd_556x45_Mk262_Stanag: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6657,	class rhs_mag_30Rnd_556x45_M200_Stanag: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6662,	class rhs_mag_30Rnd_556x45_M193_Stanag: 30Rnd_556x45_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6670,	class rhs_mag_30Rnd_556x45_M196_Stanag_Tracer_Red: rhs_mag_30Rnd_556x45_M193_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6675,	class rhs_mag_30Rnd_556x45_M855A1_EPM: rhs_mag_30Rnd_556x45_M855A1_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6676,	class rhs_mag_30Rnd_556x45_M855A1_EPM_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_Stanag_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6677,	class rhs_mag_30Rnd_556x45_Mk318_SCAR: rhs_mag_30Rnd_556x45_Mk318_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6678,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_Pull: rhs_mag_30Rnd_556x45_M855A1_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6679,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_Pull_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_Stanag_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6680,	class rhs_mag_30Rnd_556x45_M855_Stanag_Pull: rhs_mag_30Rnd_556x45_M855_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6681,	class rhs_mag_30Rnd_556x45_M855_Stanag_Pull_Tracer_Red: rhs_mag_30Rnd_556x45_M855_Stanag_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6682,	class rhs_mag_30Rnd_556x45_Mk318_Stanag_Pull: rhs_mag_30Rnd_556x45_Mk318_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6683,	class rhs_mag_30Rnd_556x45_Mk262_Stanag_Pull: rhs_mag_30Rnd_556x45_Mk262_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6684,	class rhs_mag_30Rnd_556x45_M855A1_EPM_Pull: rhs_mag_30Rnd_556x45_M855A1_EPM;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6685,	class rhs_mag_30Rnd_556x45_M855A1_EPM_Pull_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_EPM_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6686,	class rhs_mag_30Rnd_556x45_Mk318_SCAR_Pull: rhs_mag_30Rnd_556x45_Mk318_SCAR;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6687,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_Ranger: rhs_mag_30Rnd_556x45_M855A1_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6688,	class rhs_mag_30Rnd_556x45_M855A1_Stanag_Ranger_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_Stanag_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6689,	class rhs_mag_30Rnd_556x45_M855_Stanag_Ranger: rhs_mag_30Rnd_556x45_M855_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6690,	class rhs_mag_30Rnd_556x45_M855_Stanag_Ranger_Tracer_Red: rhs_mag_30Rnd_556x45_M855_Stanag_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6691,	class rhs_mag_30Rnd_556x45_Mk318_Stanag_Ranger: rhs_mag_30Rnd_556x45_Mk318_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6692,	class rhs_mag_30Rnd_556x45_Mk262_Stanag_Ranger: rhs_mag_30Rnd_556x45_Mk262_Stanag;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6693,	class rhs_mag_30Rnd_556x45_M855A1_EPM_Ranger: rhs_mag_30Rnd_556x45_M855A1_EPM;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6694,	class rhs_mag_30Rnd_556x45_M855A1_EPM_Ranger_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_EPM_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6695,	class rhs_mag_30Rnd_556x45_Mk318_SCAR_Ranger: rhs_mag_30Rnd_556x45_Mk318_SCAR;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6696,	class rhs_mag_30Rnd_556x45_M855A1_PMAG: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6700,	class rhs_mag_30Rnd_556x45_M855A1_PMAG_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_PMAG
..\Mods\@RHSUSAF\rhsusf_c_weapons,6705,	class rhs_mag_30Rnd_556x45_M855_PMAG: rhs_mag_30Rnd_556x45_M855A1_PMAG
..\Mods\@RHSUSAF\rhsusf_c_weapons,6710,	class rhs_mag_30Rnd_556x45_M855_PMAG_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_PMAG_Tracer_Red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6715,	class rhs_mag_30Rnd_556x45_Mk318_PMAG: rhs_mag_30Rnd_556x45_M855A1_PMAG
..\Mods\@RHSUSAF\rhsusf_c_weapons,6720,	class rhs_mag_30Rnd_556x45_Mk262_PMAG: rhs_mag_30Rnd_556x45_M855A1_PMAG
..\Mods\@RHSUSAF\rhsusf_c_weapons,6725,	class rhs_mag_30Rnd_556x45_M855A1_PMAG_Tan: rhs_mag_30Rnd_556x45_M855A1_PMAG;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6726,	class rhs_mag_30Rnd_556x45_M855A1_PMAG_Tan_Tracer_Red: rhs_mag_30Rnd_556x45_M855A1_PMAG_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6727,	class rhs_mag_30Rnd_556x45_M855_PMAG_Tan: rhs_mag_30Rnd_556x45_M855_PMAG;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6728,	class rhs_mag_30Rnd_556x45_M855_PMAG_Tan_Tracer_Red: rhs_mag_30Rnd_556x45_M855_PMAG_Tracer_Red;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6729,	class rhs_mag_30Rnd_556x45_Mk318_PMAG_Tan: rhs_mag_30Rnd_556x45_Mk318_PMAG;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6730,	class rhs_mag_30Rnd_556x45_Mk262_PMAG_Tan: rhs_mag_30Rnd_556x45_Mk262_PMAG;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,6731,	class rhs_mag_20Rnd_556x45_M193_Stanag: rhs_mag_30Rnd_556x45_M193_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6736,	class rhs_mag_20Rnd_556x45_M196_Stanag_Tracer_Red: rhs_mag_30Rnd_556x45_M196_Stanag_Tracer_Red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6741,	class rhs_mag_20Rnd_556x45_M200_Stanag: rhs_mag_30Rnd_556x45_M200_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6746,	class rhs_mag_20Rnd_556x45_M855_Stanag: rhs_mag_30Rnd_556x45_M855_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6751,	class rhs_mag_20Rnd_556x45_M855A1_Stanag: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6756,	class rhs_mag_20Rnd_556x45_Mk262_Stanag: rhs_mag_30Rnd_556x45_Mk262_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6761,	class rhs_mag_20Rnd_556x45_M193_2MAG_Stanag: rhs_mag_20Rnd_556x45_M193_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6765,	class rhs_mag_20Rnd_556x45_M196_2MAG_Stanag_Tracer_Red: rhs_mag_20Rnd_556x45_M196_Stanag_Tracer_Red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6769,	class rhs_mag_100Rnd_556x45_M855A1_cmag: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6774,	class rhs_mag_100Rnd_556x45_M855A1_cmag_mixed: rhs_mag_100Rnd_556x45_M855A1_cmag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6780,	class rhs_mag_100Rnd_556x45_M855_cmag: rhs_mag_100Rnd_556x45_M855A1_cmag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6785,	class rhs_mag_100Rnd_556x45_M855_cmag_mixed: rhs_mag_100Rnd_556x45_M855_cmag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6791,	class rhs_mag_100Rnd_556x45_Mk318_cmag: rhs_mag_100Rnd_556x45_M855A1_cmag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6796,	class rhs_mag_100Rnd_556x45_Mk262_cmag: rhs_mag_100Rnd_556x45_M855A1_cmag
..\Mods\@RHSUSAF\rhsusf_c_weapons,6801,	class 1Rnd_HE_Grenade_shell;
..\Mods\@RHSUSAF\rhsusf_c_weapons,6802,	class rhs_mag_M441_HE: 1Rnd_HE_Grenade_shell
..\Mods\@RHSUSAF\rhsusf_c_weapons,6810,	class rhsusf_mag_6Rnd_M441_HE: rhs_mag_M441_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6815,	class rhs_mag_M433_HEDP: rhs_mag_M441_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6822,	class rhsusf_mag_6Rnd_M433_HEDP: rhs_mag_M433_HEDP
..\Mods\@RHSUSAF\rhsusf_c_weapons,6827,	class rhs_mag_M397_HET: rhs_mag_M441_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6834,	class rhsusf_mag_6Rnd_M397_HET: rhs_mag_M397_HET
..\Mods\@RHSUSAF\rhsusf_c_weapons,6839,	class rhs_mag_M781_Practice: rhs_mag_M433_HEDP
..\Mods\@RHSUSAF\rhsusf_c_weapons,6845,	class rhsusf_mag_6Rnd_M781_Practice: rhs_mag_M781_Practice
..\Mods\@RHSUSAF\rhsusf_c_weapons,6851,	class rhs_mag_m4009: rhs_mag_M441_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6856,	class rhsusf_mag_6Rnd_m4009: rhsusf_mag_6Rnd_M433_HEDP
..\Mods\@RHSUSAF\rhsusf_c_weapons,6862,	class rhs_mag_six12_slug: CA_Magazine
..\Mods\@RHSUSAF\rhsusf_c_weapons,6869,	class rhs_mag_m576: rhs_mag_M441_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6876,	class rhsusf_mag_6Rnd_M576_Buckshot: rhsusf_mag_6Rnd_M433_HEDP
..\Mods\@RHSUSAF\rhsusf_c_weapons,6882,	class rhs_mag_M585_white: rhs_mag_M441_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6887,	class rhs_mag_m661_green: rhs_mag_M585_white
..\Mods\@RHSUSAF\rhsusf_c_weapons,6892,	class rhs_mag_m662_red: rhs_mag_M585_white
..\Mods\@RHSUSAF\rhsusf_c_weapons,6897,	class rhsusf_mag_6Rnd_M585_white: rhsusf_mag_6Rnd_M433_HEDP
..\Mods\@RHSUSAF\rhsusf_c_weapons,6902,	class rhsusf_mag_6Rnd_m661_green: rhsusf_mag_6Rnd_M433_HEDP
..\Mods\@RHSUSAF\rhsusf_c_weapons,6907,	class rhsusf_mag_6Rnd_m662_red: rhs_mag_M585_white
..\Mods\@RHSUSAF\rhsusf_c_weapons,6913,	class rhs_mag_m713_Red: rhs_mag_M441_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,6920,	class rhs_mag_m714_White: rhs_mag_m713_Red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6925,	class rhs_mag_m715_Green: rhs_mag_m713_Red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6930,	class rhs_mag_m716_yellow: rhs_mag_m713_Red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6935,	class rhsusf_mag_6Rnd_M713_red: rhsusf_mag_6Rnd_M433_HEDP
..\Mods\@RHSUSAF\rhsusf_c_weapons,6942,	class rhsusf_mag_6Rnd_M714_white: rhsusf_mag_6Rnd_M713_red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6947,	class rhsusf_mag_6Rnd_M715_green: rhsusf_mag_6Rnd_M713_red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6952,	class rhsusf_mag_6Rnd_M716_yellow: rhsusf_mag_6Rnd_M713_red
..\Mods\@RHSUSAF\rhsusf_c_weapons,6957,	class rhsusf_5Rnd_300winmag_xm2010: CA_Magazine
..\Mods\@RHSUSAF\rhsusf_c_weapons,6967,	class 10Rnd_RHS_50BMG_Box: CA_Magazine
..\Mods\@RHSUSAF\rhsusf_c_weapons,6980,	class rhsusf_mag_10Rnd_STD_50BMG_M33: 10Rnd_RHS_50BMG_Box
..\Mods\@RHSUSAF\rhsusf_c_weapons,6985,	class rhsusf_mag_10Rnd_STD_50BMG_mk211: rhsusf_mag_10Rnd_STD_50BMG_M33
..\Mods\@RHSUSAF\rhsusf_c_weapons,6989,	class rhsusf_5Rnd_00Buck: CA_Magazine
..\Mods\@RHSUSAF\rhsusf_c_weapons,6997,	class rhsusf_8Rnd_00Buck: rhsusf_5Rnd_00Buck
..\Mods\@RHSUSAF\rhsusf_c_weapons,7004,	class rhsusf_5Rnd_Slug: rhsusf_5Rnd_00Buck
..\Mods\@RHSUSAF\rhsusf_c_weapons,7009,	class rhsusf_8Rnd_Slug: rhsusf_5Rnd_Slug
..\Mods\@RHSUSAF\rhsusf_c_weapons,7016,	class rhsusf_5Rnd_HE: rhsusf_8Rnd_Slug
..\Mods\@RHSUSAF\rhsusf_c_weapons,7024,	class rhsusf_8Rnd_HE: rhsusf_5Rnd_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,7031,	class rhsusf_5Rnd_FRAG: rhsusf_8Rnd_HE
..\Mods\@RHSUSAF\rhsusf_c_weapons,7039,	class rhsusf_8Rnd_FRAG: rhsusf_5Rnd_FRAG
..\Mods\@RHSUSAF\rhsusf_c_weapons,7046,	class rhsusf_5Rnd_doomsday_Buck: rhsusf_5Rnd_00Buck
..\Mods\@RHSUSAF\rhsusf_c_weapons,7053,	class rhsusf_8Rnd_doomsday_Buck: rhsusf_5Rnd_doomsday_Buck
..\Mods\@RHSUSAF\rhsusf_c_weapons,7060,	class rhsusf_100Rnd_556x45_soft_pouch: rhs_mag_30Rnd_556x45_M855A1_Stanag
..\Mods\@RHSUSAF\rhsusf_c_weapons,7070,	class rhsusf_100Rnd_556x45_mixed_soft_pouch: rhsusf_100Rnd_556x45_soft_pouch
..\Mods\@RHSUSAF\rhsusf_c_weapons,7077,	class rhsusf_100Rnd_556x45_M855_soft_pouch: rhsusf_100Rnd_556x45_soft_pouch
..\Mods\@RHSUSAF\rhsusf_c_weapons,7083,	class rhsusf_100Rnd_556x45_M855_mixed_soft_pouch: rhsusf_100Rnd_556x45_M855_soft_pouch
..\Mods\@RHSUSAF\rhsusf_c_weapons,7090,	class rhsusf_100Rnd_556x45_M200_soft_pouch: rhsusf_100Rnd_556x45_soft_pouch
..\Mods\@RHSUSAF\rhsusf_c_weapons,7096,	class rhsusf_100Rnd_556x45_soft_pouch_ucp: rhsusf_100Rnd_556x45_soft_pouch;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,7097,	class rhsusf_100Rnd_556x45_mixed_soft_pouch_ucp: rhsusf_100Rnd_556x45_mixed_soft_pouch;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,7098,	class rhsusf_100Rnd_556x45_M855_soft_pouch_ucp: rhsusf_100Rnd_556x45_M855_soft_pouch;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,7099,	class rhsusf_100Rnd_556x45_M855_mixed_soft_pouch_ucp: rhsusf_100Rnd_556x45_M855_mixed_soft_pouch;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,7100,	class rhsusf_100Rnd_556x45_M200_soft_pouch_ucp: rhsusf_100Rnd_556x45_M200_soft_pouch;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,7101,	class rhsusf_100Rnd_556x45_soft_pouch_coyote: rhsusf_100Rnd_556x45_soft_pouch;  //found empty after stripping
..\Mods\@RHSUSAF\rhsusf_c_weapons,7102,	class rhsusf_100Rnd_556x45_mixed_soft_pouch_coyote: rhsusf_100Rnd_556x45_mixed_soft_pouch;  //found empty after stripping
